Model,Accuracy,Macro F1,Balanced Accuracy,F1 Improvement
Baseline NN,0.7949090654361094,0.5884325966163498,0.5440797583614684,0.0
Random Search,0.8234897507070742,0.6529045097667378,0.606869972742303,0.06447191315038792
Random Search,0.8234897507070742,0.6529045097667378,0.606869972742303,0.06447191315038792
Bayesian Optimisation,0.7966515765785487,0.5633265667148344,0.5169894188276959,-0.025106029901515448
NAS,0.7966515765785487,0.5633265667148344,0.5169894188276959,-0.025106029901515448
